site,tree_id,time_date,direction,replicate,sample,elevation,ele_tag,comb_column,comb_row
LE,186,2022-07-27T07:40:00Z,East,Control,1971,L,L_186,1,A
LE,179,2022-07-27T08:30:00Z,South,Control,1987,L,L_179,1,B
LE,179,2022-07-27T08:30:00Z,East,Control,1994,L,L_179,1,C
LE,179,2022-07-27T08:30:00Z,North,Control,2111,L,L_179,1,D
HB,2143,2022-07-28T08:30:00Z,North,Control,2316,H,H_2143,1,E
HB,2143,2022-07-28T08:30:00Z,East,Control,2323,H,H_2143,1,F
HB,2127,2022-07-28T09:15:00Z,South,Control,2329,H,H_2127,1,G
HB,2127,2022-07-28T09:15:00Z,East,Control,2348,H,H_2127,1,H
HA,2314,2022-07-28T16:00:00Z,South,Control,2537,H,H_2314,2,A
HE,2441,2022-07-31T11:06:59Z,South,Control,3134,H,H_2441,2,B
HE,2441,2022-07-31T11:06:59Z,East,Control,3139,H,H_2441,2,C
HE,2441,2022-07-31T11:06:59Z,West,Control,3152,H,H_2441,2,D
HD,2572,2022-08-01T08:40:00Z,North,Control,3379,H,H_2572,2,E
HD,2572,2022-08-01T08:40:00Z,West,Control,3385,H,H_2572,2,F
HD,2551,2022-08-01T09:25:00Z,South,Control,3391,H,H_2551,2,G
LF,402,2022-08-01T10:00:00Z,West,Control,3713,L,L_402,2,H
LF,GRLF3,2022-08-02T10:30:00Z,South,Control,3788,L,L_GRLF3,3,A
LF,GRLF3,2022-08-02T10:30:00Z,West,Control,3794,L,L_GRLF3,3,B
ME,T3,2022-08-02T15:30:00Z,South,Control,3923,M,M_T3,3,C
ME,T5,2022-08-02T16:15:00Z,South,Control,3948,M,M_T5,3,D
ME,T5,2022-08-02T16:15:00Z,East,Control,3955,M,M_T5,3,E
ME,T1,2022-08-03T08:30:00Z,South,Control,3973,M,M_T1,3,F
ME,T1,2022-08-03T08:30:00Z,North,Control,3992,M,M_T1,3,G
ME,572,2022-08-03T09:04:59Z,East,Control,4114,M,M_572,3,H
ME,572,2022-08-03T09:04:59Z,North,Control,4121,M,M_572,4,A
ME,572,2022-08-03T09:04:59Z,West,Control,4126,M,M_572,4,B
MD,1448,2022-08-03T10:20:00Z,South,Control,4159,M,M_1448,4,C
MD,1448,2022-08-03T10:20:00Z,West,Control,4178,M,M_1448,4,D
MD,1425,2022-08-03T10:50:00Z,South,Control,4185,M,M_1425,4,E
MD,1425,2022-08-03T10:50:00Z,East,Control,4192,M,M_1425,4,F
MD,1425,2022-08-03T10:50:00Z,North,Control,4197,M,M_1425,4,G
MD,1411,2022-08-03T11:19:59Z,North,Control,4333,M,M_1411,4,H
MC,623,2022-08-03T14:25:00Z,South,Control,4532,M,M_623,5,A
MC,T4,2022-08-03T14:25:00Z,South,Control,4557,M,M_T4,5,B
MC,T4,2022-08-03T14:25:00Z,East,Control,4564,M,M_T4,5,C
MC,T4,2022-08-03T14:25:00Z,North,Control,4571,M,M_T4,5,D
MB,1039,2022-08-04T11:30:00Z,North,Control,5305,M,M_1039,5,E
MB,1039,2022-08-04T11:30:00Z,West,Control,5312,M,M_1039,5,F
