tree_long,direction,sample,replicate,dissect,newplate,newcolumn,newrow
LG_GRLG1,South,1319,2,TRUE,D19,1,A
LG_GRLG1,South,1321,3,TRUE,D19,1,B
LG_GRLG1,South,1323,5,TRUE,D19,1,C
LG_GRLG1,West,1325,1,TRUE,D19,1,D
LG_GRLG1,West,1326,2,TRUE,D19,1,E
LG_GRLG1,West,1329,5,TRUE,D19,1,F
LG_GRLG1,North,1332,1,TRUE,D19,1,G
LG_GRLG1,North,1333,2,TRUE,D19,1,H
LG_GRLG1,North,1336,5,TRUE,D19,2,A
LG_GRLG1,East,1339,2,TRUE,D19,2,B
LG_GRLG1,East,1341,3,TRUE,D19,2,C
LG_GRLG1,East,1343,5,TRUE,D19,2,D
LC_114,East,1393,1,TRUE,D19,2,E
LC_114,East,1395,3,TRUE,D19,2,F
LC_114,East,1396,4,TRUE,D19,2,G
LC_114,West,1398,1,TRUE,D19,2,H
LC_114,West,1399,2,TRUE,D19,3,A
LC_114,West,1511,3,TRUE,D19,3,B
LC_114,North,1513,1,TRUE,D19,3,C
LC_114,North,1514,2,TRUE,D19,3,D
LC_114,North,1516,4,TRUE,D19,3,E
LC_114,South,1518,1,TRUE,D19,3,F
LC_114,South,1521,3,TRUE,D19,3,G
LC_114,South,1522,4,TRUE,D19,3,H
LD_248,West,1736,1,TRUE,D19,4,A
LD_248,West,1738,3,TRUE,D19,4,B
LD_248,West,1739,4,TRUE,D19,4,C
LD_248,East,1743,2,TRUE,D19,4,D
LD_248,East,1744,3,TRUE,D19,4,E
LD_248,East,1745,4,TRUE,D19,4,F
HB_2143,North,2312,2,NA,D19,4,G
HB_2143,North,2313,3,NA,D19,4,H
HB_2143,North,2315,5,NA,D19,5,A
HB_2143,East,2317,1,NA,D19,5,B
HB_2143,East,2318,2,NA,D19,5,C
HB_2143,East,2319,3,NA,D19,5,D
HC_2815,South,2738,2,TRUE,D19,5,E
HC_2815,South,2739,3,TRUE,D19,5,F
HC_2815,South,2741,4,TRUE,D19,5,G
HC_2815,East,2743,1,TRUE,D19,5,H
HC_2815,East,2744,2,TRUE,D19,6,A
HC_2815,East,2746,4,TRUE,D19,6,B
HC_2815,North,2749,2,TRUE,D19,6,C
HC_2815,North,2751,3,TRUE,D19,6,D
HC_2815,North,2752,4,TRUE,D19,6,E
HC_2815,West,2755,1,TRUE,D19,6,F
HC_2815,West,2756,2,TRUE,D19,6,G
HC_2815,West,2758,4,TRUE,D19,6,H
LF_402,South,3569,1,TRUE,D19,7,A
LF_402,South,3571,2,TRUE,D19,7,B
LF_402,South,3573,4,TRUE,D19,7,C
LF_402,East,3575,1,TRUE,D19,7,D
LF_402,East,3587,2,TRUE,D19,7,E
LF_402,East,3589,4,TRUE,D19,7,F
MD_1411,East,4323,2,TRUE,D19,7,G
MD_1411,East,4324,3,TRUE,D19,7,H
MD_1411,East,4325,4,TRUE,D19,8,A
MD_1411,West,4334,1,TRUE,D19,8,B
MD_1411,West,4336,3,TRUE,D19,8,C
MD_1411,West,4338,5,TRUE,D19,8,D
MA_779,South,4741,3,TRUE,D19,8,E
MA_779,South,4742,4,TRUE,D19,8,F
MA_779,South,4743,5,TRUE,D19,8,G
MA_779,East,4746,2,TRUE,D19,8,H
MA_779,East,4747,3,TRUE,D19,9,A
MA_779,East,4749,5,TRUE,D19,9,B
MA_779,North,4753,2,TRUE,D19,9,C
MA_779,North,4754,3,TRUE,D19,9,D
MA_779,North,4755,4,TRUE,D19,9,E
MA_779,West,4757,1,TRUE,D19,9,F
MA_779,West,4759,3,TRUE,D19,9,G
MA_779,West,4761,4,TRUE,D19,9,H
